ticket_id;descricao
1;Não consigo acessar minha conta, aparece erro de senha.
2;Gostaria de saber como alterar meu plano de assinatura.
3;A entrega do meu pedido está atrasada há mais de uma semana.
4;Parabéns pelo atendimento, sempre rápido e eficiente!
5;Preciso que instalem o software no meu computador novo.
6;A fatura veio com um valor errado, podem verificar?
7;Sugiro que adicionem um chat 24h para suporte.
8;O aplicativo está fechando sozinho ao abrir a tela de perfil.
9;Gostaria de solicitar treinamento para a equipe sobre o sistema.
10;O atendimento por telefone demorou muito para responder.
